"0","","0"
"1","OK","0"
"2","キャンセル","0"
"3","メニュー","0"
"4","オプション","0"
"5","情報","0"
"6","FAQ","0"
"7","スタッフ","0"
"8","ライセンス","0"
"9","プライバシーポリシー","0"
"10","タイトルに戻る","0"
"11","再起動","0"
"12","終了","0"
"13","言語","0"
"14","英語","0"
"15","日本語","0"
"16","システム","0"
"17","入力","0"
"18","グラフィック","0"
"19","サウンド","0"
"20","BGM ボリューム","0"
"21","BGM ミュート","0"
"22","SE ボリューム","0"
"23","SE ミュート","0"
"24","チート","0"
"25","コマンド","0"
"26","データ削除","0"
"27","ステージ","0"
"28","テスト 2D","0"
"29","テスト 3D","0"
"30","準備中です。","0"
