"0","","0"
"1","OK","0"
"2","CANCEL","0"
"3","MENU","0"
"4","OPTION","0"
"5","INFO","0"
"6","FAQ","0"
"7","STAFF","0"
"8","LICENSE","0"
"9","PRIVACY POLICY","0"
"10","BACK TO TITLE","0"
"11","RESTART","0"
"12","EXIT","0"
"13","LANGUAGE","0"
"14","ENGLISH","0"
"15","JAPANESE","0"
"16","GRAPHIC","0"
"17","SOUND","0"
"18","BGM VOLUME","0"
"19","BGM MUTE","0"
"20","SE VOLUME","0"
"21","SE MUTE","0"
"22","CHEAT","0"
"23","COMMAND","0"
"24","DELETE DATA","0"
"25","STAGE","0"
"26","TEST 2D","0"
"27","TEST 3D","0"
"28","In preparation.","0"
