"0","","0"
"1","OK","0"
"2","OK
(RESTART)","0"
"3","CANCEL","0"
"4","MENU","0"
"5","OPTION","0"
"6","FAQ","0"
"7","STAFF","0"
"8","LICENSE","0"
"9","PRIVACY POLICY","0"
"10","EXIT","0"
"11","CHEAT","0"
"12","LANGUAGE","0"
"13","ENGLISH","0"
"14","JAPANESE","0"
"15","SOUND","0"
"16","BGM VOLUME","0"
"17","BGM MUTE","0"
"18","SE VOLUME","0"
"19","SE MUTE","0"
"20","RESTART","0"
"21","COMMAND","0"
"22","DELETE DATA","0"
"23","STAGE","0"
"24","TEST 2D","0"
"25","TEST 3D","0"
"26","In preparation.","0"
